Case 1: checksum = 0000
 SYMBOL   ADDR
JWX       ????
JWY       ????
JXL       ????
JYO       ????
JYW       ????
JYX       ????
JZY       ????
KAJ       ????
KCH       ????
KCI       ????
KCK       ????
KCX       ????
KDD       ????
KFM       ????
KGD       ????
KGM       ????
KHK       ????
KIE       ????
KJR       ????
KJZ       ????
KKS       ????
KLC       ????
KLD       ????
KLG       ????
KLJ       ????
KMJ       ????
KMV       ????
KNA       ????
KNH       ????
KNL       ????
KNM       ????
KNV       ????
KOQ       ????
KQA       ????
KQT       ????
KQV       ????
KRT       ????
KSA       ????
KST       01E5
KSU       0149
KSY       ????
KTH       ????
KUK       01BE
KUT       ????
KVZ       ????
KWF       ????
KWH       ????
KXV       ????
KYM       ????
KYW       ????
KZL       ????
LAB       ????
LAI       ????
LAN       ????
LAP       ????
LBI       ????
LCI       ????
LDB       ????
LDH       ????
LDW       ????
LEC       ????
LEG       ????
LEX       ????
LEY       ????
LFI       ????
LFJ       ????
LFW       ????
LHE       ????
LHT       ????
LHY       ????
LIJ       ????
LIQ       ????
LIY       ????
LJD       ????
LJJ       ????
LJR       ????
LKD       ????
LKF       ????
LLA       ????
LLB       ????
LLJ       ????
LMI       ????
LMK       ????
LNF       015D
LNN       ????
LOE       ????
LQF       ????
LQN       ????
LQU       ????
LQX       ????
LRL       ????
LSV       ????
LTE       ????
LTZ       ????
LUA       ????
LVJ       ????
LVK       0173
LVU       ????
LVW       ????
LXL       ????
LXW       ????
LYB       ????
LZO       ????
LZR       ????
MAI       ????
MAQ       ????
MBC       ????
MCC       ????
MCH       ????
MCI       ????
MCN       ????
MEG       ????
MEV       ????
MGJ       ????
MGR       ????
MGT       ????
MHR       ????
MIA       ????
MIE       ????
MJI       ????
MKA       ????
MKF       ????
MKH       ????
MKZ       ????
MLV       ????
MLZ       ????
MMR       ????
MNG       010D
MNJ       ????
MOL       ????
MPH       ????
MQX       ????
MRI       ????
MRQ       ????
MRU       ????
MSF       ????
MSH       ????
MTD       ????
MTF       ????
MTR       ????
MUA       ????
MUX       ????
MUZ       ????
MVA       ????
MVU       ????
MXH       ????
MZC       ????
MZF       ????
MZM       ????
MZU       ????
NAM       ????
NAN       ????
NAO       ????
NAV       ????
NBH       ????
NBU       ????
NCC       ????
NCG       ????
NDE       ????
NDL       ????
NFP       ????
NFT       ????
NGD       ????
NGW       ????
NHT       ????
NHU       ????
NHW       012B
NHX       ????
NIM       ????
NIP       01D8
NIX       ????
NJH       ????
NKG       ????
NKJ       ????
NKS       ????
NKW       ????
NLC       ????
NLX       ????
NNT       ????
NNU       ????
NNZ       ????
NOS       ????
NSO       ????
NSY       ????
NTF       ????
NTM       ????
NUE       ????
NVG       ????
NVL       ????
NWK       ????
NWL       ????
NYG       ????
NYI       ????
NYT       ????
NZS       ????
OAC       ????
OAI       ????
OAR       ????
OAW       ????
OBC       ????
OBF       ????
OBK       ????
OBM       ????
OBS       ????
OCB       ????
ODI       ????
ODS       ????
OFR       ????
OFV       ????
OFX       ????
OGJ       ????
OGT       ????
OHB       ????
OHK       01E2
OHM       ????
OHU       ????
OIB       ????
OIC       ????
OIP       ????
OJE       ????
OKA       ????
OKE       ????
OLD       ????
OLN       ????
OLS       ????
OMM       0177
ONR       ????
OPG       ????
OQF       ????
OQH       ????
OQM       ????
OQN       ????
ORD       ????
ORH       ????
ORZ       ????
OTU       ????
OTV       ????
OTW       ????
OUT       ????
OUW       ????
OUX       013A
OUY       ????
OVP       ????
OVZ       ????
OWA       ????
OWD       ????
OWE       ????
OWI       ????
OWN       ????
OXL       ????
OXZ       ????
OYM       ????
OZF       ????
OZN       ????
OZY       ????
PAC       ????
PAT       ????
PBB       ????
PBM       ????
PBS       ????
PCJ       ????
PDC       ????
PDL       ????
PDY       ????
PEE       01F0
PEK       ????
PET       ????
PEV       ????
PFY       ????
PGF       ????
PGP       ????
PHQ       ????
PIA       ????
PIK       ????
PIU       ????
PJP       ????
PLC       ????
PLD       ????
PLR       ????
PLT       ????
PLV       ????
PMS       ????
PNE       ????
PQH       ????
PRP       ????
PRU       ????
PRV       ????
PSK       ????
PSM       01AE
PST       ????
PSX       ????
PTB       ????
PTF       ????
PTX       ????
PVA       ????
PWB       ????
PWC       ????
PWN       ????
PXB       ????
PYD       ????
PYN       ????
PYQ       ????
PZC       ????
PZI       ????
QAG       ????
QAK       ????
QAQ       ????
QBK       ????
QBM       ????
QBX       0168
QCB       ????
QDH       ????
QDV       ????
QEA       ????
QEE       012A
QEJ       ????
QFO       ????
QFV       ????
QGL       ????
QGN       ????
QGQ       ????
QII       ????
QIM       ????
QJF       ????
QJN       ????
QKG       ????
QKX       ????
QLF       ????
QLQ       ????
QLV       ????
QMA       ????
QMQ       ????
QNE       ????
QNF       ????
QNT       ????
QPM       ????
QPN       ????
QPZ       ????
QQF       ????
QQN       ????
QQT       ????
QRB       ????
QRM       ????
QRQ       ????
QRX       ????
QSE       ????
QSI       ????
QSO       ????
QUP       ????
QUR       ????
QUZ       ????
QVM       ????
QWL       ????
QXK       ????
QXP       ????
QYI       ????
QYP       ????
QZE       ????
QZJ       ????
RCC       ????
RCK       ????
RCX       ????
REF       ????
REM       ????
RFG       0186
RGF       ????
RGG       ????
RHL       ????
RIO       ????
RIW       ????
RJF       ????
RJG       ????
RJJ       ????
RJQ       ????
RKB       ????
RKQ       ????
RLF       ????
RLN       ????
RLU       ????
RMB       ????
RMN       ????
RNF       ????
RNS       ????
ROD       ????
ROJ       ????
RPA       ????
RPS       ????
RPX       ????
RQH       ????
RRV       ????
RRW       ????
RSH       ????
RSJ       ????
RSN       ????
RST       ????
RSV       ????
RSZ       ????
RUU       ????
RVX       ????
RWI       ????
RWM       ????
RWT       ????
RWX       ????
RXD       ????
RXY       ????
RYI       ????
RYX       ????
RZA       ????
RZC       ????
RZZ       ????
SAJ       0106
SAV       01D0
SCI       ????
SCO       ????
SDQ       ????
SDS       ????
SED       ????
SEV       ????
SFF       ????
SFW       ????
SGS       ????
SHG       ????
SHR       0168
SIU       ????
SJD       ????
SJF       ????
SJL       ????
SJP       ????
SKF       ????
SKW       ????
SLH       ????
SLJ       ????
SMC       ????
SMT       ????
SMW       ????
SNP       ????
SNS       ????
SNV       ????
SOH       ????
SPW       ????
SPY       ????
SQP       ????
SQY       ????
SRE       ????
SSK       ????
STE       ????
STJ       0156
STR       ????
SUF       ????
SWR       ????
SWX       ????
SXK       ????
SYS       0195
SZE       ????
TBK       ????
TBP       ????
TBZ       ????
TCP       ????
TDS       ????
TDW       ????
TED       ????
TFS       ????
TFU       ????
TGM       ????
TGS       ????
THE       ????
THM       ????
TIC       ????
TJK       ????
TJT       ????
TKB       ????
TKZ       ????
TLN       ????
TLO       ????
TLS       ????
TLT       ????
TLU       ????
TMZ       ????
TNA       ????
TNF       ????
TOK       ????
TOQ       ????
TOW       ????
TPA       ????
TPI       ????
TRZ       ????
TTS       ????
TUA       ????
TUK       ????
TVH       ????
TVX       ????
TYT       ????
TZG       ????
TZS       ????
UAS       ????
UBV       ????
UCA       ????
UCL       ????
UCS       ????
UDD       ????
UDV       014D
UDZ       ????
UEV       ????
UFM       0183
UGK       ????
UHD       ????
UIH       ????
UIJ       ????
UML       ????
UMS       ????
UMY       ????
UNP       ????
UNW       ????
UOA       ????
UOT       ????
UOU       ????
UOV       ????
UOX       ????
UPG       ????
UPM       ????
UQF       ????
UQN       ????
UQR       ????
UQT       ????
URJ       ????
URL       ????
USG       ????
USJ       ????
UTC       ????
UTD       ????
UTF       ????
UTX       ????
UUC       ????
UUE       ????
UVB       ????
UVU       ????
UVV       ????
UVX       ????
UWL       ????
UWM       ????
UWT       ????
UWZ       ????
UXR       ????
UYD       ????
UYL       ????
UYM       ????
UYS       ????
UYV       ????
UZD       ????
UZV       ????
VAJ       ????
VAN       ????
VBB       ????
VBC       ????
VBL       ????
VBT       ????
VCG       ????
VCL       ????
VCY       ????
VEL       ????
VFB       ????
VFS       ????
VGD       ????
VGL       ????
VGU       ????
VGV       ????
VHE       01EF
VIP       ????
VJP       ????
VJY       ????
VKR       ????
VKW       ????
VLG       ????
VLK       ????
VLQ       ????
VLS       ????
VOF       ????
VOJ       ????
VOV       ????
VPS       ????
VPX       ????
VQR       ????
VRA       ????
VRJ       ????
VRO       ????
VRY       ????
VSF       ????
VSG       ????
VUI       ????
VUN       ????
VUR       ????
VVE       ????
VVJ       ????
VVR       ????
VWJ       ????
VWP       ????
VWT       ????
VXB       ????
VXL       ????
VXQ       ????
VXW       ????
VYL       ????
VYP       ????
VYU       ????
VZS       ????
WAP       ????
WAQ       0198
WAW       ????
WAY       ????
WBK       ????
WBR       ????
WCC       ????
WDX       ????
WFD       ????
WFJ       ????
WFS       ????
WFU       ????
WGP       ????
WHA       ????
WHE       ????
WHS       ????
WKF       ????
WKI       ????
WKX       ????
WLE       ????
WLI       ????
WLU       ????
WMD       ????
WMQ       ????
WNG       ????
WPH       ????
WPK       ????
WQH       ????
WQU       ????
WRH       ????
WRR       ????
WRW       ????
WSE       ????
WSY       ????
WTB       ????
WTF       ????
WUT       ????
WUZ       ????
WVN       ????
WVO       ????
WWL       ????
WXA       01F1
WXT       ????
WYB       ????
WZA       ????
WZQ       ????
WZX       ????
XAY       ????
XBK       ????
XCQ       ????
XEA       ????
XEX       ????
XFK       ????
XFX       ????
XFY       ????
XGQ       ????
XGW       ????
XHB       ????
XHM       ????
XHV       ????
XIB       ????
XIQ       ????
XIT       ????
XJP       ????
XJQ       ????
XKC       0199
XKK       ????
XKO       ????
XKT       ????
XKU       ????
XLC       ????
XLX       ????
XMM       ????
XMZ       ????
XNG       ????
XOB       ????
XPB       ????
XPC       ????
XPH       ????
XPI       ????
XPW       ????
XQV       ????
XRB       ????
XRQ       ????
XSC       ????
XSE       ????
XSJ       ????
XST       ????
XUS       ????
XVU       ????
XVV       ????
XVY       ????
XWA       ????
XWS       ????
XXG       ????
XYW       ????
XZU       ????
YAA       ????
YAM       ????
YBZ       ????
YCB       0126
YCU       ????
YDA       ????
YDB       ????
YDK       ????
YDO       ????
YEK       ????
YEL       ????
YFD       ????
YFE       ????
YFS       ????
YFT       ????
YFY       ????
YGZ       ????
YIM       ????
YIN       ????
YIZ       ????
YJA       ????
YJM       ????
YMI       ????
YNP       ????
YNX       ????
YOP       ????
YPC       ????
YPR       ????
YQR       ????
YSK       ????
YSP       ????
YSQ       ????
YTA       ????
YTJ       ????
YTX       ????
YUF       ????
YVB       ????
YWJ       ????
YWW       ????
YXD       ????
YXP       ????
YXU       ????
YYA       ????
YYG       ????
YYK       ????
YYV       ????
YZQ       ????
YZW       ????
ZAI       ????
ZAX       ????
ZBP       ????
ZBV       ????
ZCL       ????
ZCM       ????
ZCP       ????
ZCQ       ????
ZDY       ????
ZEM       ????
ZFG       ????
ZFL       ????
ZFY       ????
ZHH       ????
ZHN       ????
ZIT       ????
ZJA       ????
ZKS       ????
ZLI       ????
ZLN       ????
ZLY       ????
ZMI       ????
ZNB       ????
ZNI       ????
ZNJ       ????
ZNM       ????
ZNN       ????
ZNO       ????
ZNQ       ????
ZOA       ????
ZPB       015E
ZPC       ????
ZPS       ????
ZQB       ????
ZQL       ????
ZQR       ????
ZQY       ????
ZSN       ????
ZSW       ????
ZTC       ????
ZTL       ????
ZUS       ????
ZWU       ????
ZWW       ????
ZXD       ????
ZYK       ????
ZYX       ????
ZZB       ????
ZZM       ????
ZZT       ????
ZZU       ????

Case 2: checksum = 0000
 SYMBOL   ADDR
--------  ----
AAJ       ????
AAM       ????
ABA       ????
ABE       ????
ABG       ????
ABJ       0101
ABS       ????
ABT       ????
ACM       ????
ADF       ????
ADL       ????
ADY       ????
AEG       ????
AEJ       ????
AEN       ????
AET       ????
AFD       01B9
AFI       ????
AFP       ????
AFX       ????
AGI       ????
AGM       ????
AIF       ????
AIX       ????
AJB       ????
AJH       ????
AJV       ????
AJW       ????
AKB       ????
AKF       ????
AKU       ????
ALX       ????
ALZ       ????
AMQ       ????
AMS       ????
ANO       01F9
AOO       ????
API       ????
ARF       ????
ARK       ????
ASS       ????
ATG       ????
ATL       ????
AUA       ????
AUV       ????
AUZ       ????
AVI       ????
AVY       ????
AWV       ????
AWY       ????
AXI       ????
AXM       ????
AXZ       ????
AYA       ????
AYX       ????
AYZ       ????
BAA       ????
BAE       ????
BAI       ????
BAP       ????
BAT       ????
BBG       ????
BBU       ????
BCD       ????
BCL       ????
BDC       ????
BDP       ????
BEO       ????
BEQ       ????
BFA       017F
BGA       ????
BGO       ????
BHQ       ????
BHU       ????
BIZ       ????
BJD       ????
BJG       0104
BJK       ????
BJT       ????
BLA       ????
BLC       ????
BND       ????
BNS       ????
BNY       ????
BPU       ????
BPZ       ????
BQE       ????
BQQ       ????
BRD       ????
BRG       ????
BSZ       ????
BTA       ????
BTG       ????
BUB       ????
BUK       ????
BUS       ????
BUX       ????
BVH       ????
BVM       ????
BVW       ????
BWK       ????
BWY       ????
BXZ       ????
BYF       ????
BYY       ????
BZS       ????
BZW       ????
BZZ       ????
CBR       ????
CBS       ????
CBY       01CB
CCG       ????
CCO       ????
CCS       ????
CCW       ????
CDC       ????
CED       ????
CEG       ????
CFJ       ????
CFN       ????
CFP       ????
CFY       ????
CGC       ????
CGT       ????
CIA       ????
CIQ       ????
CMX       ????
CNL       ????
COP       ????
COQ       ????
COW       ????
CPC       ????
CPE       ????
CPM       ????
CQL       ????
CQM       ????
CQX       ????
CRO       ????
CSC       0131
CTG       ????
CTJ       ????
CTR       ????
CTU       ????
CTW       ????
CUC       ????
CVE       ????
CVS       0168
CWQ       ????
CWS       ????
CWZ       ????
CXP       ????
CYA       ????
CYN       ????
CYX       ????
CZI       ????
CZN       ????
DAX       ????
DBB       ????
DBX       ????
DCG       ????
DDV       ????
DDW       ????
DEU       ????
DFB       0120
DGP       ????
DGW       ????
DGZ       ????
DHK       ????
DHR       ????
DID       ????
DIV       ????
DJE       ????
DJH       ????
DJM       ????
DJZ       ????
DKM       ????
DKQ       ????
DKV       ????
DLJ       ????
DLL       ????
DLQ       ????
DME       ????
DOG       ????
DOM       ????
DOV       ????
DPI       ????
DRJ       ????
DRM       ????
DRR       ????
DRU       ????
DRY       0133
DSL       ????
DSP       ????
DTD       ????
DTJ       ????
DUB       ????
DUI       ????
DUN       ????
DUP       ????
DVA       ????
DVI       ????
DVP       ????
DVZ       ????
DWA       ????
DWC       ????
DYN       ????
DYV       ????
DZT       ????
EAX       ????
EDJ       0145
EDZ       0154
EEL       ????
EEP       ????
EFG       017B
EGU       ????
EIL       ????
EJD       ????
EJL       ????
EJW       ????
EJZ       017A
EMJ       ????
EMK       01B8
EMN       ????
ENG       ????
EOW       ????
EPD       ????
ERJ       ????
ETB       ????
ETH       ????
ETX       ????
EUW       ????
EVG       ????
EVK       ????
EXL       ????
EXR       0189
EXT       ????
EXW       ????
EYF       ????
EYT       ????
EYY       ????
EZH       ????
EZP       ????
EZS       ????
EZU       ????
FAK       ????
FBR       ????
FBT       ????
FCF       ????
FCP       ????
FEF       ????
FEI       ????
FFE       ????
FFY       ????
FGZ       ????
FHE       ????
FHW       ????
FIF       ????
FKF       ????
FKS       ????
FKW       ????
FKX       ????
FLB       ????
FLH       ????
FOL       ????
FOR       ????
FOU       ????
FPL       ????
FQO       ????
FQX       ????
FRB       ????
FRW       ????
FRY       ????
FSD       ????
FTL       ????
FTM       ????
FTV       ????
FUF       ????
FUP       ????
FVL       ????
FWC       ????
FWE       ????
FWR       ????
FWU       ????
FXF       ????
FXN       ????
FYL       ????
FYQ       ????
FZM       ????
FZS       ????
GAC       ????
GAD       ????
GBD       ????
GBM       ????
GCC       ????
GDO       ????
GEM       ????
GET       ????
GFG       ????
GGL       ????
GGV       ????
GGZ       ????
GIL       ????
GIS       ????
GJB       ????
GJY       ????
GKP       ????
GKY       ????
GMH       ????
GMI       ????
GMN       ????
GMO       ????
GMR       ????
GNB       ????
GNU       ????
GOQ       ????
GOR       ????
GQG       ????
GRH       ????
GRL       ????
GRR       ????
GRU       ????
GSO       ????
GSV       ????
GUQ       ????
GWC       ????
GWG       ????
GWR       ????
GXT       0103
GYB       ????
GZH       ????
GZS       ????
GZY       ????
HBL       ????
HCD       ????
HCJ       ????
HCO       ????
HDE       ????
HFJ       ????
HFW       ????
HGD       ????
HGZ       ????
HHZ       ????
HJN       ????
HJR       ????
HJU       ????
HJX       ????
HKJ       ????
HLX       ????
HLY       ????
HMB       015A
HML       ????
HMO       ????
HMP       ????
HNC       ????
HOB       ????
HOC       ????
HOD       ????
HOO       ????
HPE       ????
HPO       ????
HQA       ????
HRE       ????
HRH       ????
HRJ       ????
HRT       ????
HSH       ????
HTA       ????
HTB       ????
HVB       ????
HVD       019E
HVX       ????
HWB       ????
HXE       ????
HXN       ????
HYC       ????
HYF       ????
HZR       ????
IBH       ????
IBP       ????
IBR       ????
ICL       ????
ICM       01A4
ICT       ????
IDR       ????
IDV       ????
IDY       ????
IEZ       ????
IFE       ????
IFH       ????
IGL       ????
IHB       ????
IIJ       ????
IIQ       ????
IJD       ????
IJL       ????
IJP       ????
IJS       ????
IKW       ????
IKZ       ????
ILB       ????
ILU       ????
ILX       ????
ILY       ????
IMC       ????
IMF       ????
IML       ????
IMW       ????
IND       ????
INJ       ????
INO       ????
IOL       ????
IOX       ????
IPC       ????
IPX       ????
IQN       ????
IRS       ????
IRV       ????
ISF       ????
ITA       ????
ITG       011D
ITU       ????
IUY       ????
IVJ       ????
IVX       ????
IWA       ????
IWN       ????
IXB       ????
IXV       ????
IYE       ????
IYS       ????
IYT       ????
IZD       ????
IZJ       01D6
JAH       ????
JAR       ????
JBA       ????
JBF       ????
JBQ       ????
JCT       ????
JEG       ????
JEL       ????
JGE       ????
JGL       ????
JGO       ????
JIB       ????
JIF       ????
JIH       ????
JIO       ????
JJO       ????
JLD       ????
JLE       ????
JLS       ????
JLT       ????
JMH       ????
JMR       ????
JNQ       ????
JNX       ????
JPV       ????
JPZ       ????
JQI       ????
JRS       ????
JRZ       ????
JSD       ????
JTC       ????
JUC       ????
JUE       ????
JUL       ????
JVI       011A
JVP       ????
JVZ       ????
JWM       ????
JXZ       ????
JYE       ????
JYX       ????
JZJ       ????
JZX       ????
KAK       ????
KBI       ????
KBX       016F
KCS       ????
KDG       ????
KDK       ????
KEE       ????
KEZ       ????
KFD       ????
KFF       ????
KGG       ????
KGJ       ????
KHI       ????
KIK       ????
KKI       01A2
KMI       ????
KMN       ????
KMP       ????
KMT       ????
KPF       ????
KPL       ????
KPV       ????
KQE       ????
KQS       ????
KRE       ????
KSO       ????
KSY       ????
KTF       ????
KTP       ????
KTT       ????
KUE       ????
KUM       ????
KUO       ????
KVC       011E
KVH       ????
KVN       ????
KVP       ????
KWB       ????
KWC       ????
KXH       ????
KXI       ????
KYI       ????
KYU       ????
KZE       ????
KZL       ????
LAJ       ????
LAU       ????
LBM       ????
LBP       ????
LBQ       ????
LBY       ????
LCT       ????
LDN       ????
LEP       ????
LEZ       ????
LFG       ????
LFK       ????
LFO       ????
LGD       ????
LGK       ????
LGY       ????
LHB       ????
LHL       ????
LIQ       0111
LKB       ????
LKP       ????
LKR       ????
LMT       ????
LMV       ????
LNB       ????
LNL       ????
LNY       ????
LOB       ????
LPM       ????
LPR       ????
LPU       ????
LQT       ????
LRA       ????
LRJ       ????
LRY       ????
LSG       ????
LSQ       ????
LSR       ????
LUG       ????
LUQ       ????
LVL       ????
LVP       ????
LVV       ????
LWA       ????
LWG       ????
LWN       ????
LWR       ????
LWT       ????
LWV       ????
LXE       ????
LXK       ????
LXY       ????
LXZ       ????
LYM       ????
LZN       ????
LZP       ????
LZT       ????
MAA       ????
MAX       ????
MBC       ????
MBD       ????
MBK       ????
MCE       ????
MDD       ????
MDH       ????
MEK       ????
MFH       ????
MFJ       ????
MGT       ????
MHL       ????
MHR       ????
MHT       ????
MIL       ????
MJA       ????
MJY       ????
MKF       ????
MKR       ????
MLA       ????
MLJ       ????
MLL       ????
MMG       ????
MMM       ????
MMW       ????
MMY       ????
MNB       ????
MNM       ????
MNQ       ????
MNS       ????
MNT       ????
MNY       ????
MOD       ????
MOH       ????
MOM       ????
MON       ????
MPK       ????
MPW       ????
MQD       ????
MQQ       ????
MRG       ????
MSK       ????
MTO       ????
MTR       ????
MVJ       ????
MVS       01D3
MWH       ????
MXQ       ????
MXX       ????
MXZ       ????
MYE       ????
MZO       ????
NAV       ????
NBB       ????
NBL       ????
NCR       ????
NCT       ????
NDD       ????
NDO       ????
NEY       ????
NFS       ????
NGP       ????
NGU       ????
NGV       ????
NHD       ????
NHK       ????
NHR       ????
NIA       ????
NID       ????
NIT       ????
NIU       ????
NJA       ????
NJC       ????
NJY       ????
NKC       ????
NKG       ????
NKK       ????
NKV       ????
NLO       ????
NLU       ????
NNG       ????
NNH       ????
NNI       ????
NOJ       ????
NOU       ????
NOY       ????
NPN       ????
NPS       ????
NQH       ????
NQY       0162
